"Perioden","Regio.s","Bouwen.en.wonen.Woningvoorraad.Voorraad.op.1.januari..aantal.","Bouwen.en.wonen.Woningvoorraad.Nieuwbouw..aantal.","Bouwen.en.wonen.Woningvoorraad.Saldo.voorraad..relatief..per.1.000.woningen.","Bouwen.en.wonen.Woningvoorraad.Woningdichtheid..aantal.woningen.per.km..","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Koopwoningen....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Huurwoningen.van.woningcorporatie....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Huurwoningen.van.overige.verhuurders....","Bouwen.en.wonen.Woningvoorraad.Woningen.naar.eigendom.Eigendom.onbekend....","Bouwen.en.wonen.Gemiddelde.WOZ.waarde.van.woningen..1.000.euro."
2009,"Limburg (PV)",499764,3831,"5,9",232,"59,7","28","11,5","0,8",206
2010,"Limburg (PV)",502728,3318,"5,5",234,"59,2","28,3","11,7","0,8",206
2011,"Limburg (PV)",505479,2662,"4,3",235,"58,7","27,4","13,2","0,6",200
2012,"Limburg (PV)",510026,2078,"7,8",237,"60,3","27,1","11,5","1",196
2013,"Limburg (PV)",514029,2008,"12,9",239,"60,1","27,1","12,1","0,7",189
2014,"Limburg (PV)",520664,2164,"5,2",242,"59,7","27","12,1","1,2",180
2015,"Limburg (PV)",523368,1331,"2,4",244,"59,3","27","12,5","1,2",175
2016,"Limburg (PV)",524634,1838,"4,7",244,"59,2","26,8","12,8","1,2",178
2017,"Limburg (PV)",527097,2231,"4,2",245,"59","26,6","13,2","1,2",182
2018,"Limburg (PV)",529301,2230,"3,4",247,"59,7","26,1","13","1,2",190
2019,"Limburg (PV)",531082,2367,"4",247,"60,5","26,4","12,7","0,4",203
2020,"Limburg (PV)",533231,2764,"6,3",248,"60,4","26,2","13,1","0,3",218
2021,"Limburg (PV)",536617,3556,"7,1",250,"60,4","26,1","13,3","0,3",231
2022,"Limburg (PV)",540435,3385,"8",252,"60,4","25,8","13,5","0,3",246
2023,"Limburg (PV)",544758,3397,"7,1",254,"60,2","25,8","13,8","0,3",288
2024,"Limburg (PV)",548613,2578,"5,2",256,"60,1","25,7","14","0,2",289
2025,"Limburg (PV)",551489,NA,"",257,"","","","",311
